E,j,gamma,g,allowed transitions,HF
27231.07,2.5,67858915.98264188,1.3126,"[0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74]","[1, 2, 3, 4]"
27252.33,1.5,1253634.8701046281,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
27252.99,1.5,10833294.424667934,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91]","[0, 1, 2, 3]"
27333.41,3.5,50115.198939308524,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
27534.45,2.5,425452.9615178367,1.3126,"[12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12]","[1, 2, 3, 4]"
27716.6,4.5,11562.580294512947,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
27993.03,0.5,175463309.2548948,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
28360.88,1.5,3598467.822380325,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
28580.81,1.5,10371386.972257132,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91]","[0, 1, 2, 3]"
28777.77,0.5,5215518.502891569,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
29332.48,2.5,201299021.5570845,1.3126,"[0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74]","[1, 2, 3, 4]"
29466.4,5.5,208.54343642441523,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
30286.07,2.5,1457000.6788095231,1.3126,"[12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12]","[1, 2, 3, 4]"
